city,lat,lng,date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
Tiznit,34.0625,-5.0,2026-09-17,18.7,18.7,0.0,3,12.2,33.5,3
Tiznit,34.0625,-5.0,2026-09-18,18.0,18.0,0.0,13,9.7,27.0,3
Tiznit,34.0625,-5.0,2026-09-19,21.2,21.2,0.0,5,9.8,26.7,3
Tiznit,34.0625,-5.0,2026-09-20,23.5,23.5,0.0,5,17.2,41.0,2
Mohammedia,34.0625,-5.0,2026-09-14,23.5,23.5,0.0,0,11.0,29.5,2
Mohammedia,34.0625,-5.0,2026-09-15,23.7,23.7,0.0,0,15.5,38.9,3
Mohammedia,34.0625,-5.0,2026-09-16,20.5,20.5,0.0,0,16.8,40.3,1
Mohammedia,34.0625,-5.0,2026-09-17,18.7,18.7,0.0,3,12.2,33.5,3
Mohammedia,34.0625,-5.0,2026-09-18,18.0,18.0,0.0,13,9.7,27.0,3
Mohammedia,34.0625,-5.0,2026-09-19,21.2,21.2,0.0,5,9.8,26.7,3
Mohammedia,34.0625,-5.0,2026-09-20,23.5,23.5,0.0,5,17.2,41.0,2
Kouribga,31.625,-8.0,2026-09-14,23.2,23.2,0.0,5,12.1,40.0,3
Kouribga,31.625,-8.0,2026-09-15,24.2,24.2,0.0,5,14.8,38.9,3
Kouribga,31.625,-8.0,2026-09-16,20.3,20.3,0.0,0,13.3,35.6,0
Kouribga,31.625,-8.0,2026-09-17,18.3,18.3,0.0,0,8.8,26.3,1
Kouribga,31.625,-8.0,2026-09-18,18.2,18.2,0.0,15,7.9,25.2,1
Kouribga,31.625,-8.0,2026-09-19,19.6,19.6,0.3,17,12.9,23.0,3
Kouribga,31.625,-8.0,2026-09-20,20.3,20.3,0.0,18,11.3,23.0,2
Settat,31.625,-8.0,2026-09-14,23.2,23.2,0.0,5,12.1,40.0,3
Settat,31.625,-8.0,2026-09-15,24.2,24.2,0.0,5,14.8,38.9,3
Settat,31.625,-8.0,2026-09-16,20.3,20.3,0.0,0,13.3,35.6,0
Settat,31.625,-8.0,2026-09-17,18.3,18.3,0.0,0,8.8,26.3,1
Settat,31.625,-8.0,2026-09-18,18.2,18.2,0.0,15,7.9,25.2,1
Settat,31.625,-8.0,2026-09-19,19.6,19.6,0.3,17,12.9,23.0,3
Settat,31.625,-8.0,2026-09-20,20.3,20.3,0.0,18,11.3,23.0,2
Barrechid,31.625,-8.0,2026-09-14,23.2,23.2,0.0,5,12.1,40.0,3
Barrechid,31.625,-8.0,2026-09-15,24.2,24.2,0.0,5,14.8,38.9,3
Barrechid,31.625,-8.0,2026-09-16,20.3,20.3,0.0,0,13.3,35.6,0
Barrechid,31.625,-8.0,2026-09-17,18.3,18.3,0.0,0,8.8,26.3,1
Barrechid,31.625,-8.0,2026-09-18,18.2,18.2,0.0,15,7.9,25.2,1
Barrechid,31.625,-8.0,2026-09-19,19.6,19.6,0.3,17,12.9,23.0,3
Barrechid,31.625,-8.0,2026-09-20,20.3,20.3,0.0,18,11.3,23.0,2
