city,lat,lng,date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code,temperature_category
Tiznit,34.0625,-5.0,2026-09-18,18.0,18.0,0.0,13,9.7,27.0,3,Fraîche
Tiznit,34.0625,-5.0,2026-09-19,21.2,21.2,0.0,5,9.8,26.7,3,Normale
Tiznit,34.0625,-5.0,2026-09-20,23.5,23.5,0.0,5,17.2,41.0,2,Normale
Mohammedia,34.0625,-5.0,2026-09-14,23.5,23.5,0.0,0,11.0,29.5,2,Normale
Mohammedia,34.0625,-5.0,2026-09-15,23.7,23.7,0.0,0,15.5,38.9,3,Normale
Mohammedia,34.0625,-5.0,2026-09-16,20.5,20.5,0.0,0,16.8,40.3,1,Normale
Mohammedia,34.0625,-5.0,2026-09-17,18.7,18.7,0.0,3,12.2,33.5,3,Fraîche
Mohammedia,34.0625,-5.0,2026-09-18,18.0,18.0,0.0,13,9.7,27.0,3,Fraîche
Mohammedia,34.0625,-5.0,2026-09-19,21.2,21.2,0.0,5,9.8,26.7,3,Normale
Mohammedia,34.0625,-5.0,2026-09-20,23.5,23.5,0.0,5,17.2,41.0,2,Normale
Kouribga,31.625,-8.0,2026-09-14,23.2,23.2,0.0,5,12.1,40.0,3,Normale
Kouribga,31.625,-8.0,2026-09-15,24.2,24.2,0.0,5,14.8,38.9,3,Normale
Kouribga,31.625,-8.0,2026-09-16,20.3,20.3,0.0,0,13.3,35.6,0,Normale
Kouribga,31.625,-8.0,2026-09-17,18.3,18.3,0.0,0,8.8,26.3,1,Fraîche
Kouribga,31.625,-8.0,2026-09-18,18.2,18.2,0.0,15,7.9,25.2,1,Fraîche
Kouribga,31.625,-8.0,2026-09-19,19.6,19.6,0.3,17,12.9,23.0,3,Fraîche
Kouribga,31.625,-8.0,2026-09-20,20.3,20.3,0.0,18,11.3,23.0,2,Normale
Settat,31.625,-8.0,2026-09-14,23.2,23.2,0.0,5,12.1,40.0,3,Normale
Settat,31.625,-8.0,2026-09-15,24.2,24.2,0.0,5,14.8,38.9,3,Normale
Settat,31.625,-8.0,2026-09-16,20.3,20.3,0.0,0,13.3,35.6,0,Normale
Settat,31.625,-8.0,2026-09-17,18.3,18.3,0.0,0,8.8,26.3,1,Fraîche
Settat,31.625,-8.0,2026-09-18,18.2,18.2,0.0,15,7.9,25.2,1,Fraîche
Settat,31.625,-8.0,2026-09-19,19.6,19.6,0.3,17,12.9,23.0,3,Fraîche
Settat,31.625,-8.0,2026-09-20,20.3,20.3,0.0,18,11.3,23.0,2,Normale
Barrechid,31.625,-8.0,2026-09-14,23.2,23.2,0.0,5,12.1,40.0,3,Normale
Barrechid,31.625,-8.0,2026-09-15,24.2,24.2,0.0,5,14.8,38.9,3,Normale
Barrechid,31.625,-8.0,2026-09-16,20.3,20.3,0.0,0,13.3,35.6,0,Normale
Barrechid,31.625,-8.0,2026-09-17,18.3,18.3,0.0,0,8.8,26.3,1,Fraîche
Barrechid,31.625,-8.0,2026-09-18,18.2,18.2,0.0,15,7.9,25.2,1,Fraîche
Barrechid,31.625,-8.0,2026-09-19,19.6,19.6,0.3,17,12.9,23.0,3,Fraîche
Barrechid,31.625,-8.0,2026-09-20,20.3,20.3,0.0,18,11.3,23.0,2,Normale
Ad Dakhla,31.625,-8.0,2026-09-14,23.2,23.2,0.0,5,12.1,40.0,3,Normale
Ad Dakhla,31.625,-8.0,2026-09-15,24.2,24.2,0.0,5,14.8,38.9,3,Normale
Ad Dakhla,31.625,-8.0,2026-09-16,20.3,20.3,0.0,0,13.3,35.6,0,Normale
Ad Dakhla,31.625,-8.0,2026-09-17,18.3,18.3,0.0,0,8.8,26.3,1,Fraîche
Ad Dakhla,31.625,-8.0,2026-09-18,18.2,18.2,0.0,15,7.9,25.2,1,Fraîche
Ad Dakhla,31.625,-8.0,2026-09-19,19.6,19.6,0.3,17,12.9,23.0,3,Fraîche
Ad Dakhla,31.625,-8.0,2026-09-20,20.3,20.3,0.0,18,11.3,23.0,2,Normale
Nador,31.625,-8.0,2026-09-14,23.2,23.2,0.0,5,12.1,40.0,3,Normale
Nador,31.625,-8.0,2026-09-15,24.2,24.2,0.0,5,14.8,38.9,3,Normale
Nador,31.625,-8.0,2026-09-16,20.3,20.3,0.0,0,13.3,35.6,0,Normale
Nador,31.625,-8.0,2026-09-17,18.3,18.3,0.0,0,8.8,26.3,1,Fraîche
Nador,31.625,-8.0,2026-09-18,18.2,18.2,0.0,15,7.9,25.2,1,Fraîche
Nador,31.625,-8.0,2026-09-19,19.6,19.6,0.3,17,12.9,23.0,3,Fraîche
Nador,31.625,-8.0,2026-09-20,20.3,20.3,0.0,18,11.3,23.0,2,Normale
Taza,31.625,-8.0,2026-09-14,23.2,23.2,0.0,5,12.1,40.0,3,Normale
Taza,31.625,-8.0,2026-09-15,24.2,24.2,0.0,5,14.8,38.9,3,Normale
Taza,31.625,-8.0,2026-09-16,20.3,20.3,0.0,0,13.3,35.6,0,Normale
Taza,31.625,-8.0,2026-09-17,18.3,18.3,0.0,0,8.8,26.3,1,Fraîche
Taza,31.625,-8.0,2026-09-18,18.2,18.2,0.0,15,7.9,25.2,1,Fraîche
Taza,31.625,-8.0,2026-09-19,19.6,19.6,0.3,17,12.9,23.0,3,Fraîche
Taza,31.625,-8.0,2026-09-20,20.3,20.3,0.0,18,11.3,23.0,2,Normale
Inezgane,31.625,-8.0,2026-09-14,23.2,23.2,0.0,5,12.1,40.0,3,Normale
Inezgane,31.625,-8.0,2026-09-15,24.2,24.2,0.0,5,14.8,38.9,3,Normale
Inezgane,31.625,-8.0,2026-09-16,20.3,20.3,0.0,0,13.3,35.6,0,Normale
Inezgane,31.625,-8.0,2026-09-17,18.3,18.3,0.0,0,8.8,26.3,1,Fraîche
Inezgane,31.625,-8.0,2026-09-18,18.2,18.2,0.0,15,7.9,25.2,1,Fraîche
Inezgane,31.625,-8.0,2026-09-19,19.6,19.6,0.3,17,12.9,23.0,3,Fraîche
Inezgane,31.625,-8.0,2026-09-20,20.3,20.3,0.0,18,11.3,23.0,2,Normale
Larache,34.0,-6.8125,2026-09-14,23.5,23.5,0.0,0,11.1,29.5,0,Normale
Larache,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45,Normale
Larache,34.0,-6.8125,2026-09-16,20.8,20.8,0.0,0,15.5,39.2,2,Normale
Larache,34.0,-6.8125,2026-09-17,18.8,18.8,0.0,0,12.0,32.0,3,Fraîche
Larache,34.0,-6.8125,2026-09-18,17.4,17.4,0.0,0,15.3,38.2,2,Fraîche
Larache,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45,Fraîche
Larache,34.0,-6.8125,2026-09-20,21.3,21.3,0.0,3,13.7,30.2,1,Normale
Larache,34.0,-6.8125,2026-09-14,23.6,23.6,0.0,0,11.1,29.5,0,Normale
Larache,34.0,-6.8125,2026-09-15,21.4,21.4,0.0,0,12.8,33.8,45,Normale
Larache,34.0,-6.8125,2026-09-16,20.9,20.9,0.0,0,15.5,39.2,2,Normale
Larache,34.0,-6.8125,2026-09-17,18.9,18.9,0.0,0,12.0,32.0,3,Fraîche
Larache,34.0,-6.8125,2026-09-18,17.5,17.5,0.0,0,15.3,38.2,2,Fraîche
Larache,34.0,-6.8125,2026-09-19,17.6,17.6,0.0,3,12.3,30.6,45,Fraîche
Larache,34.0,-6.8125,2026-09-20,21.4,21.4,0.0,3,13.7,30.2,1,Normale
