lat,lng,date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
27.170473,-13.229401,2026-09-17,28.8,21.4,0.0,0,29.5,57.6,3
27.170473,-13.229401,2026-09-18,27.2,20.1,0.0,4,28.0,55.4,3
27.170473,-13.229401,2026-09-19,29.0,18.8,0.0,2,20.3,43.2,2
27.170473,-13.229401,2026-09-20,32.4,18.6,0.0,2,22.1,47.2,3
33.25,-8.4375,2026-09-14,29.2,21.0,0.0,0,14.2,25.9,1
33.25,-8.4375,2026-09-15,26.6,21.5,0.0,0,17.0,30.2,45
33.25,-8.4375,2026-09-16,25.0,20.9,0.0,0,19.7,35.6,2
33.25,-8.4375,2026-09-17,25.1,19.5,0.0,0,15.2,27.0,3
33.25,-8.4375,2026-09-18,24.4,19.0,0.0,0,19.0,35.3,45
33.25,-8.4375,2026-09-19,27.0,20.5,0.0,2,18.4,34.9,3
33.25,-8.4375,2026-09-20,29.2,21.1,0.0,0,17.3,32.8,45
30.3125,-9.5,2026-09-14,39.6,25.3,0.0,3,17.9,34.6,3
30.3125,-9.5,2026-09-15,35.4,25.6,0.0,3,18.7,36.4,2
30.3125,-9.5,2026-09-16,29.4,21.6,0.0,0,20.5,39.6,1
30.3125,-9.5,2026-09-17,26.6,21.0,0.0,0,17.5,34.2,3
30.3125,-9.5,2026-09-18,26.3,20.0,0.0,5,18.4,36.0,2
30.3125,-9.5,2026-09-19,38.0,20.3,0.0,5,16.3,40.0,3
30.3125,-9.5,2026-09-20,40.3,25.4,0.0,0,16.9,38.5,1
32.3125,-6.375,2026-09-14,38.6,25.5,0.0,5,18.8,46.1,3
32.3125,-6.375,2026-09-15,36.0,25.3,0.0,0,22.0,45.0,61
32.3125,-6.375,2026-09-16,32.7,21.2,0.0,0,17.9,36.7,2
32.3125,-6.375,2026-09-17,29.8,18.7,0.0,5,10.7,24.8,2
32.3125,-6.375,2026-09-18,31.6,18.9,0.0,14,10.6,20.9,3
32.3125,-6.375,2026-09-19,35.7,22.6,0.6,14,14.3,28.4,3
32.3125,-6.375,2026-09-20,37.8,26.6,0.0,3,18.0,37.1,2
33.4375,-7.625,2026-09-14,36.7,24.2,0.0,0,16.0,39.6,3
33.4375,-7.625,2026-09-15,31.7,21.0,0.0,0,15.7,38.9,45
